time,AUV0_x,AUV0_y,AUV0_z,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z,AUV10_x,AUV10_y,AUV10_z,AUV11_x,AUV11_y,AUV11_z,AUV12_x,AUV12_y,AUV12_z
224.70000000000002,134.82,266.6335523155907,-66.17500000000001,79.80752873457546,211.6210847951175,-78.32676521333514,83.37717603755208,318.07637608461744,-81.89641226104057,182.69317352982554,314.50673075044534,-85.46605647597595,182.6931766357757,218.7603835332034,-54.023235034720436,76.23788187929327,208.05144271888528,-54.02323674812542,182.69317703033263,314.50673689076655,-57.59288298940922,76.23788028329433,325.2156775672038,-50.45358925650067,179.1235267695376,222.33004069097177,-78.3267634857108,97.759970037235,231.3583557667377,-67.91707449635194,115.71241117539424,251.09562306548807,-57.50738347439138,155.18694023982758,294.13980010290396,-60.99152964363958,127.68070347753144,273.77286077984957,-64.39017633818345
224.8,134.88,266.6814635994104,-66.2,79.85452695676848,211.65599431361247,-78.36105219711824,83.42231686289627,318.1391465460565,-81.92884185144786,182.76989009434834,314.57135861189784,-85.4966286729687,182.76989320774257,218.7915782474619,-54.038948049859826,76.2867374978594,208.08820963732828,-54.038949763057325,182.76989359803412,314.5713647538192,-57.60673861073289,76.28673590081345,325.2747332439007,-50.47115967695482,179.20210074225974,222.35937801751234,-78.36105046170684,97.8132369728431,231.3986053048167,-67.94311928177021,115.77194682501401,251.1412126183228,-57.525186061270865,155.2571559206897,294.19421228801644,-61.011421803371874,127.74441827221952,273.8170572835275,-64.41610503639788
224.9,134.94,266.72929095336787,-66.225,79.90151507819472,211.69080980154072,-78.39534639572804,83.46744614449086,318.2018446214171,-81.96127721375592,182.84661964561732,314.6359155302254,-85.52720519890899,182.84662276641149,218.82267604507797,-54.05465385017676,76.33558445862505,208.12488396818787,-54.054655563135526,182.8466231524287,314.6359216737572,-57.6205855742708,76.33558286056511,325.33371364861654,-50.488724325567375,179.2806891446973,222.38861698438785,-78.39534465252483,97.86649867769995,231.4387649608651,-67.96916487884697,115.83148211390004,251.1867164376422,-57.54298305664695,155.32737953788563,294.24854559367583,-61.03130999495675,127.80813595288218,273.8611669713907,-64.44203445610219
225.0,135.0,266.777034362411,-66.25,79.94849310861127,211.72553125360722,-78.42964780219502,83.51256389348697,318.26447028449587,-81.99371834238919,182.92336217108806,314.7004014778307,-85.55778604961515,182.92336529923753,218.85367692354367,-54.0703524426408,76.3844227699536,208.1614657047752,-54.070354155329376,182.92336568097164,314.70040762298294,-57.634423888386316,76.38442117091287,325.39261875793613,-50.50628320791365,179.35929196291116,222.4177575904841,-78.42964605119556,97.91975515685849,231.4788347255802,-67.99521128679811,115.89101704240063,251.23213451013677,-57.56077446592083,155.39761108374918,294.3027999999505,-61.051194222227366,127.8718565167318,273.9051898311742,-64.46796459659957
225.1,135.06,266.8246938115139,-66.275,79.99546105782399,211.76015866459227,-78.46395640951515,83.55767012109087,318.3270235090616,-82.02616523174454,183.00011765815375,314.76481642708086,-85.58837122088475,183.00012079361326,218.8845808804402,-54.08604383425606,76.43325244024989,208.19795484046986,-54.08604554664282,183.00012117105553,314.7648225738643,-57.64825356148426,76.43325084026185,325.4514485484297,-50.52383632959674,179.43790918289307,222.44679983478213,-78.46395465071494,97.97300641539661,231.51881458971505,-68.02125850483546,115.95055161086621,251.27746682253178,-57.57856029452058,155.467850550576,294.35697548691246,-61.07107448903591,127.93557996096632,273.9491258506541,-64.49389545718957
225.20000000000002,135.12,266.87226928567736,-66.30000000000001,80.04241893568704,211.79469202935093,-78.4982722106495,83.60276483856458,318.38950426885276,-82.058617876191,183.07688609414492,314.82916035030644,-85.61896070849428,183.07688923686857,218.91538791343763,-54.10172803206139,76.48207347796045,208.23435136871905,-54.10172974411455,183.0768896100107,314.8291664987323,-57.66207460201112,76.48207187705879,325.51020299665095,-50.541383696247514,179.5165407905654,222.4757437163594,-78.49827044404437,98.02625245841743,231.5587045440775,-68.04730653216717,116.01008581964867,251.32271336158794,-57.59634054790125,155.53809793062334,294.41107203463514,-61.09095079925377,127.99930628277087,273.9929750176458,-64.51982703716811
225.3,135.18,266.9197607699283,-66.325,80.08936675210332,211.82913134281316,-78.53259519852467,83.64784805722554,318.4519125375803,-82.09107627006989,183.15366746632995,314.8934332198024,-85.64955450819974,183.15367061627154,218.94609802029487,-54.11740504313034,76.53088589157353,208.27065528303842,-54.117406754817885,183.15367098510524,314.893439369882,-57.67588701845506,76.53088428979198,325.5688820791396,-50.558925313524526,179.59518677178085,222.5045892343887,-78.53259342411054,98.07949329104942,231.59850457953038,-68.07335536799737,116.0696196691017,251.3678741141006,-57.6141152315447,155.60835321611054,294.46508962319393,-61.1108231567712,128.06303547931543,274.0367373200057,-64.54575933582802
225.4,135.24,266.96716824932037,-66.35,80.13630451702421,211.86347659998407,-78.56692536603245,83.69291978844672,318.5142482889248,-82.12354040769476,183.2304617619145,314.9576350078277,-85.68015261573599,183.23046491902718,218.97671119885945,-54.13307487457114,76.57968968961882,208.30686657701142,-54.13307658586086,183.23046528354442,314.95764115957274,-57.689690819345735,76.57968808699148,325.62748577241996,-50.576461187114084,179.67384711232296,222.53333638813908,-78.56692358380546,98.13272891844579,231.63821468699183,-68.09940501152639,116.12915315958092,251.4129490669008,-57.631884350959616,155.67861639921858,294.51902823266744,-61.1306915654978,128.12676754775762,274.08041274562987,-64.57169235245827
225.5,135.29999999999998,267.01449170893335,-66.375,80.18323224044968,211.89772779594384,-78.60126270602984,83.73798004365665,318.5765114965378,-82.15601028335136,183.307268968042,315.0217656866056,-85.71075502681715,183.30727213227829,219.0072274470679,-54.14873753352672,76.6284848806678,208.34298524428976,-54.14873924438624,183.30727249247104,315.0217718400275,-57.70348601325456,76.6284832772288,325.68601405300103,-50.59399132273026,179.752521797906,222.5619851769753,-78.60126091598633,98.18595934578536,231.67783485743445,-68.12545546195054,116.18868629144325,251.4579382068542,-57.64964791168166,155.7488874720906,294.57288784313533,-61.15055602936192,128.19050248523942,274.12400128245656,-64.59762608634479
225.6,135.35999999999999,267.06173113387376,-66.4,80.23014993242826,211.93188492584744,-78.63560721133932,83.78302883433929,318.63870213404226,-82.18848589129787,183.38408907179326,315.0858252283231,-85.74136173713676,183.38409224310524,219.0376467629458,-54.16439302717473,76.67727147333356,208.379011278593,-54.164394737571406,183.38409259896554,315.08583138343334,-57.71727260879458,76.67726986911731,325.7444668973759,-50.61151572611488,179.83121081417448,222.5905356003577,-78.63560541347583,98.23918457827173,231.71736508188673,-68.15150671846229,116.24821906504785,251.50284152086178,-57.66740591927336,155.8191664268313,294.62666843467986,-61.170416552311366,128.25424028889046,274.1675029184611,-64.62356053676946
