time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error,AUV10_Error,AUV11_Error,AUV12_Error
211.4,0.0011208778060327674,0.0011182737363584607,0.001885215467850797,0.0010161609655291953,0.0013060224453528247,0.0012782576766492014,0.001740937546723013,0.001041271501566508,0.00023336671137084544,0.00016877699308164682,0.00011659836603863301,0.0001000766590845685
211.5,0.001121463602425575,0.00111931043000388,0.0018867772509494948,0.001016919913149454,0.0013059644119982345,0.0012789157391229031,0.0017423523188189762,0.0010418098879472436,0.00023260870797853624,0.00016847873527495746,0.0001166462019532828,0.00010013841225392666
211.6,0.0011220467538198362,0.0011203450604049278,0.00188795293968761,0.0010176773011812768,0.001305864045293757,0.0012793411618670322,0.0017433556380815546,0.0010423476945748322,0.0002320879693122287,0.00016849581314238736,0.00011695401097150419,0.00010042229130699996
211.70000000000002,0.0011226300203602314,0.0011213775998596162,0.0018889057070617793,0.0010184331069701508,0.0013057660665719206,0.0012796268780528221,0.0017437321566546196,0.0010428849020926898,0.00023183947076465695,0.0001685357087229504,0.00011710176073862914,0.00010053996328907894
211.8,0.0011232139175546907,0.0011224080168691101,0.0018905034765397666,0.001019187307718312,0.0013057079053748306,0.0012799144308686488,0.0017442070422519725,0.0010434214909360003,0.0002315516502165168,0.00016816240693556396,0.0001166905999549869,0.00010019581113596508
211.9,0.0011237967587256902,0.0011234362801856343,0.0018923566673898775,0.0010199398804812863,0.0013056883918347137,0.0012802695359115514,0.0017449871806186036,0.0010439574413457617,0.0002311449919223278,0.0001674799218185971,0.00011600912608319249,9.966382454475409e-05
212.0,0.0011243764861765858,0.001124462389795433,0.0018942089019573292,0.0010206908021705753,0.001305676219070053,0.0012806597659301268,0.0017460670962198422,0.00104449273336946,0.00023068254342928303,0.00016683213202048849,0.0001154888274609689,9.928954585478672e-05
212.1,0.0011249523026950236,0.0011254863409658636,0.0018959737758523878,0.0010214400495540841,0.0013056414457906656,0.0012810135076911633,0.001747274558154011,0.0010450273468627241,0.0002303214778436274,0.0001665244935251762,0.00011538922095404289,9.924290034568032e-05
212.20000000000002,0.001125524810337561,0.0011265081202545873,0.001897649795668126,0.0010221875992536273,0.001305579512325893,0.0012812928839884723,0.0017483756811762596,0.001045561261482143,0.0002301869400128515,0.00016660603399198818,0.00011564042572132792,9.943483682694084e-05
212.3,0.0011260949497195897,0.0011275277010814996,0.0018992617383504556,0.0010229334277479549,0.0013055087187736696,0.001281530495559158,0.0017492444528252776,0.0010460944566954402,0.00023023371383402327,0.00016684120028254303,0.00011592364039022546,9.960589158164362e-05
212.4,0.0011266629621076798,0.0011285450172617193,0.001900830194185309,0.001023677511365444,0.001305448576118129,0.0012817917659998553,0.0017499411653769188,0.0010466269117671166,0.00023025507847146257,0.0001668956411119747,0.00011592771797775393,9.953185480896354e-05
212.5,0.001127228243526201,0.0011295600055514557,0.0019023649034075195,0.001024419826287587,0.0013054024318146715,0.0012821108394219908,0.0017506247686630894,0.001047158605735663,0.00023002880600306446,0.000166576433915571,0.00011557547520442444,9.919920489552872e-05
212.6,0.0011277899751814693,0.0011305726304723263,0.0019038701196508001,0.001025160348553434,0.0013053580542058646,0.0012824722454330088,0.0017513985374553885,0.0010476895174581385,0.0002294821367308046,0.00016596058159925304,0.00011505915030981964,9.879536232104946e-05
212.70000000000002,0.0011283477959506357,0.0011315828742117554,0.001905350922480261,0.0010258990540542,0.0013053012156485203,0.0012828357272854877,0.0017522472780965588,0.0010482196256067545,0.00022875603503274484,0.00016531483380196623,0.00011465350306450507,9.852003001733947e-05
212.8,0.0011289019383456961,0.0011325907184279874,0.0019068152958450102,0.001026635918535833,0.0013052280047289749,0.0012831735329185256,0.0017530850515830652,0.001048748908655743,0.00022810590346388081,0.0001648850692752612,0.00011449516315376961,9.842906698084888e-05
212.9,0.0011294528472737008,0.0011335961372355018,0.0019082723227030025,0.00102737091759175,0.0013051457263319292,0.0012834904053572868,0.00175384438093531,0.0010492773448696382,0.00022772332104684196,0.00016472612539580504,0.00011451282323863955,9.84316054923023e-05
213.0,0.001130000729291353,0.0011345991026919782,0.001909729263087549,0.0010281040266687995,0.0013050640633306529,0.0012838113632306226,0.0017545392599906708,0.0010498049123058798,0.00022760923918331685,0.00016470494039831909,0.00011453163662426858,9.838944295794812e-05
213.1,0.0011305454222873732,0.0011355995917315803,0.0019111898602468132,0.0010288352210683675,0.0013049863260916046,0.0012841535369234366,0.00175523870176361,0.001050331588804095,0.00022760695977493015,0.00016463983971643702,0.00011442890018635173,9.823792438012399e-05
213.20000000000002,0.001131086608045452,0.0011365975858970683,0.0019126545636592306,0.0010295644759418915,0.0013049081822073434,0.0012845122332976792,0.0017559905773844944,0.0010508573520228695,0.0002275292884669162,0.00016443357675481423,0.00011421196966753795,9.802211764429699e-05
213.3,0.0011316241011428134,0.001137593065167074,0.0019141219642279466,0.0010302917662866388,0.0013048231032816993,0.001284868783806682,0.0017567868869812942,0.0010513821794111168,0.0002272708319645746,0.00016410874884802354,0.00011397191250030871,9.78253507926552e-05
213.4,0.0011321579548314647,0.0011385860033016751,0.0019155903022808102,0.0010310170669582304,0.00130472839534245,0.001285208121115644,0.0017575840200585616,0.0010519060482327665,0.0002268454686584984,0.00016375232294822404,0.00011378411475644379,9.768845121922845e-05
213.5,0.0011326883440438682,0.0011395763690022881,0.001917058301747255,0.0010317403526581273,0.0013046266152281804,0.0012855300256602446,0.001758346063399005,0.0010524289355336026,0.00022635239959649934,0.00016343396628758035,0.00011365269010730625,9.758928972336451e-05
213.6,0.0011332153804951971,0.001140564130552281,0.0019185252468569157,0.001032461597937678,0.001304522228568433,0.0012858457366877127,0.0017590758194272564,0.0010529508181501912,0.00022589759990014607,0.00016316417933402879,0.0001135301223404934,9.747738233789655e-05
213.70000000000002,0.0011337390298361634,0.001141549258804207,0.0019199906580408862,0.0010331807772005278,0.0013044174557961048,0.0012861655458224661,0.0017598051440481368,0.0010534716727172919,0.00022553026980491944,0.0001629144764998952,0.00011337635369726093,9.732705144704259e-05
213.8,0.0011342591713714842,0.0011425317262407997,0.0019214539795366222,0.0010338978647009044,0.0013043110001297196,0.0012864902949508916,0.0017605592344626005,0.0010539914756592952,0.00022523833879280907,0.00016266159188666992,0.00011319634997846055,9.715689002140715e-05
213.9,0.0011347757125536474,0.001143511504206368,0.0019229144902687656,0.0010346128345383966,0.0013042000185610402,0.0012868129254358263,0.0017613364899687152,0.0010545102032092617,0.000224983038678337,0.00016240751231371518,0.00011302452931676238,9.700157764613888e-05
214.0,0.001135288648828914,0.0011444885616655354,0.0019243714138420962,0.0010353256606600509,0.0013040829069066828,0.0012871262067170523,0.0017621152477077283,0.001055027831379956,0.000224729797749495,0.0001621655427602841,0.00011288434085946333,9.687635854765108e-05
214.1,0.001135798033845761,0.0011454628663923167,0.0019258240835417601,0.0010360363168613641,0.0013039603755112407,0.0012874288862803327,0.0017628751413751584,0.0010555443359789043,0.00022445793448480235,0.00016193689426579637,0.0001127665136089564,9.67669117975077e-05
214.20000000000002,0.0011363039085435114,0.0011464343869169642,0.0019272720363454961,0.0010367447767911085,0.0013038343201315578,0.001287725463001033,0.0017636135522372167,0.0010560596926119177,0.00022415657818977645,0.00016170450165001448,0.000112641045055046,9.66463447232928e-05
214.3,0.0011368062587684467,0.0011474030931497633,0.0019287149993888234,0.0010374510139399898,0.001303705968093206,0.001288021118874507,0.0017643436899885494,0.0010565738766640013,0.00022382147118871922,0.00016144827422717947,0.00011248626235216695,9.650054447055846e-05
214.4,0.001137305028916732,0.0011483689554425795,0.0019301528105664643,0.00103815500165194,0.0013035750322903615,0.0012883172724189118,0.001765079272244489,0.0010570868633312477,0.00022345770551477243,0.00016116445789206212,0.00011230689264798281,9.633849976252482e-05
214.5,0.0011378001655095403,0.0011493319433682294,0.0019315853389276902,0.0010388567131140748,0.0013034403337620435,0.0012886113680587647,0.001765822584432376,0.0010575986275888425,0.00022308202463193483,0.0001608697862740877,0.00011212640894358615,9.618030972234589e-05
214.6,0.0011382916468026243,0.001150292025502738,0.0019330124462271813,0.0010395561213594046,0.001303301013693896,0.0012889000234872661,0.0017665649593251167,0.0010581091442163754,0.00022271724244339887,0.00016058737782146507,0.00011196457391864671,9.603822601907663e-05
214.70000000000002,0.0011387794777202168,0.0011512491701672109,0.0019344339914574595,0.0010402531992701792,0.0013031571790699562,0.001289182122859012,0.0017672964630811615,0.0010586183877659245,0.00022237981607286185,0.0001603283621696527,0.00011182233752637687,9.590845262126049e-05
214.8,0.0011392636635777856,0.001152203346138875,0.0019358498545057955,0.0010409479195697426,0.0013030095801851316,0.001289459282585552,0.0017680144245024738,0.0010591263325636928,0.00022206984397027377,0.0001600853002122677,0.00011168507046623498,9.577775334559434e-05
214.9,0.0011397441899679357,0.0011531545226393391,0.001937259953516463,0.0010416402548344497,0.0013028588271797982,0.001289733888105422,0.0017687240480670826,0.001059632952749108,0.00022177176073031604,0.00015984093435843582,0.00011153755093427734,9.563633188618518e-05
215.0,0.0011402210238249532,0.0011541026687783744,0.0019386642445269775,0.0010423301774836558,0.0013027049147963728,0.001290006934211437,0.0017694322321543442,0.001060138222275737,0.00022146517084151344,0.00015958261906713723,0.00011137609750404158,9.548509791888806e-05
215.1,0.0011406941292242798,0.0011550477531335993,0.0019400627073588358,0.001043017659782568,0.0013025473764609052,0.0012902775429881937,0.0017701413751852588,0.0010606421148606797,0.00022113751545974048,0.0001593101671732157,0.0001112085714697543,9.533229484924108e-05
215.20000000000002,0.0011411634810197442,0.0011559897438014257,0.00194145532880346,0.0010437026738386588,0.0013023857837138214,0.0012905441562705204,0.0017708484224571014,0.0010611446040043248,0.00022078989042374035,0.000159032598092799,0.00011104502872648177,9.518481309773437e-05
215.3,0.0011416290657001611,0.0011569286087671456,0.0019428420919033879,0.0010443851916086605,0.0013022200892401528,0.0012908060064548907,0.0017715486665992538,0.0010616456629860722,0.00022043330024063435,0.00015875891905612846,0.00011088898053627991,9.504279677703528e-05
215.4,0.001142090872196383,0.0011578643161539385,0.0019442229735865692,0.0010450651848915584,0.0013020505661070743,0.001291063571748557,0.0017722400780268827,0.0010621452648797774,0.00022007963487600597,0.0001584915458482422,0.00011073629536324132,9.490118136015587e-05
215.5,0.0011425488829278757,0.001158796834101504,0.0019455979475776596,0.0010457426253319317,0.001301877494126582,0.0012913178725888594,0.0017729244239263937,0.0010626433825633706,0.0002197345385599272,0.00015822676993088234,0.00011058073202876049,9.475524289784475e-05
215.6,0.0011430030724261795,0.0011597261305217083,0.0019469669880202694,0.001046417484415051,0.0013017009180942294,0.0012915694779583238,0.0017736049139200373,0.00106313998869861,0.0002193963910220025,0.0001579599011373495,0.00011041986808395062,9.460459702918726e-05
215.70000000000002,0.001143453412660792,0.0011606521729548615,0.0019483300709764871,0.0010470897334729085,0.001301520661683187,0.0012918181282973735,0.0017742831693766034,0.001063635055724799,0.0002190601504475463,0.00015768956858961864,0.00011025632049161726,9.445257484760659e-05
215.8,0.0011438998789277226,0.0011615749286735689,0.0019496871734779745,0.0010477593436797007,0.001301336521638074,0.0012920631410429952,0.0017749582371148563,0.0010641285558499654,0.00021872177555487556,0.0001574178618974319,0.00011009432588272759,9.430255997366347e-05
215.9,0.0011443424513105866,0.00116249436485557,0.0019510382714949199,0.0010484262860544376,0.0013011484355215461,0.001292304069666939,0.0017756279809846187,0.00106462046109357,0.00021838001136774998,0.00015714736355378357,0.00010993569649411344,9.41551169489665e-05
216.0,0.0011447811116946794,0.0011634104486423246,0.0019523833383048009,0.001049090531456767,0.0013009564899351077,0.0012925410041830707,0.0017762911381834356,0.0010651107432560287,0.00021803541522692107,0.00015687848847239003,0.00010977875414607895,9.400814664665084e-05
216.1,0.0011452158399938139,0.0011643231470357313,0.0019537223439006733,0.001049752050592761,0.0013007608023757982,0.0012927743480067226,0.001776948170064856,0.0010655993739303897,0.00021768862822338172,0.00015660942431358925,0.0001096204777478891,9.385924524049845e-05
216.20000000000002,0.0011456466129123556,0.00116523242678592,0.0019550552553294627,0.0010504108140062189,0.0013005614068875805,0.0012930043855254418,0.0017776004639145089,0.001066086324474885,0.00021733969959291947,0.00015633815159321748,0.00010945933547163437,9.370779350160813e-05
216.3,0.0011460734055862682,0.0011661382544040115,0.001956382037368672,0.0010510667920881692,0.0013003582378140126,0.0012932310546462948,0.0017782489414486966,0.0010665715660377678,0.00021698863464958084,0.00015606431523293148,0.00010929625447716396,9.355507269412971e-05
